,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
114,Discovery Center of Idaho,131 W Myrtle St,Boise,ID,83702,Public,24 hours daily,,2,,Non-Networked,43.608009,-116.197968,5/5/22,34106,2023-02-14 15:54:11 UTC,4/20/17,J1772,Free
115,City of Keizer - City Hall,930 Chemawa Rd NE,Salem,OR,97303,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2,,,Non-Networked,44.99574,-123.019758,4/6/23,34849,2023-04-06 17:17:01 UTC,10/15/09,NEMA520,Free
116,Nike - LA Garage,1 Bowerman Dr,Beaverton,OR,97006,Private,For employee use only,,6,,Non-Networked,45.508795,-122.8249,1/10/23,34859,2023-02-14 15:54:11 UTC,2/21/17,J1772,
117,Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,Public,24 hours daily,,2,,Non-Networked,38.2482,-122.0678,5/3/23,35146,2023-05-03 20:36:28 UTC,5/1/09,J1772,Free
118,LINCOLN CITY TAFT DUAL 1,1226 SW 50th St,Lincoln City,OR,97367,Public,24 hours daily,,2,,ChargePoint Network,44.928439,-124.015824,10/12/23,35258,2023-10-12 00:15:54 UTC,5/15/10,J1772,
119,New York Institute of Technology - Old Westbury Solar Carport Station,Valentines Ln & Northern Blvd,Old Westbury,NY,11568,Private,Drivers must bring their own J1772 cordset for Level 1 charging,4,,,Non-Networked,40.814019,-73.608978,3/7/22,35272,2023-02-15 22:45:41 UTC,11/15/09,NEMA520,
120,OUC RELIABLE 01,100 W Anderson Street,Orlando,FL,32801,Public,24 hours daily,,2,,ChargePoint Network,28.535975,-81.379663,10/12/23,35284,2023-10-12 00:15:28 UTC,2/15/11,J1772,
121,MGE WILLY ST E,1221 Williamson St,Madison,WI,53703,Public,24 hours daily,,2,,ChargePoint Network,43.083979,-89.363091,10/12/23,35290,2023-10-12 00:08:41 UTC,8/15/09,J1772,
122,LBCC LBCC DUAL 2,Ellingson Rd SW,Albany,OR,97321,Public,24 hours daily,,2,,ChargePoint Network,44.586123,-123.115389,10/12/23,35480,2023-10-12 00:15:33 UTC,1/15/09,J1772,
123,OEG,3200 NW Yeon Ave,Portland,OR,97210,Private,Employee use only,,2,,Non-Networked,45.545898,-122.707102,5/3/23,35557,2023-05-03 20:36:28 UTC,11/1/09,J1772,
124,Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,Public,24 hours daily,,2,,Non-Networked,35.249929,-120.689683,5/3/23,35560,2023-05-03 20:36:28 UTC,4/15/00,J1772,
125,San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,Public,24 hours daily,,4,,Non-Networked,35.25982,-120.676,1/10/22,35561,2022-02-10 19:42:29 UTC,4/15/00,J1772,Free
126,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,Private,Employee and guest use only,1,7,,Non-Networked,42.702424,-73.857693,3/7/22,35562,2023-02-15 22:45:41 UTC,7/1/08,J1772 NEMA520,Free
127,Saratoga Technology & Energy Park,10 Hermes Rd,Malta,NY,12020,Private,Employee and guest use only,2,,,Non-Networked,42.969823,-73.773021,6/14/22,35563,2023-02-15 22:45:41 UTC,7/1/08,NEMA520,
128,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,2,,Non-Networked,47.673347,-117.388933,6/12/23,35620,2023-06-12 16:56:16 UTC,4/15/10,J1772 NEMA520,Free
129,Steam Plant Parking,130 S Post St,Spokane,WA,99201,Public,24 hours daily,,6,,Non-Networked,47.65579218,-117.4236637,4/6/23,35621,2023-04-06 17:17:01 UTC,4/15/10,J1772,Free
130,Kum & Go #4110,2110 Guthrie Ave,Des Moines,IA,50317,Public,24 hours daily,,1,,Non-Networked,41.615759,-93.57875,3/8/23,35840,2023-03-08 17:16:33 UTC,5/15/10,J1772,
131,Kum & Go #570,5800 Northglenn Dr,Johnston,IA,50131,Public,24 hours daily,,1,,Non-Networked,41.682385,-93.698315,3/8/23,35841,2023-03-08 17:16:33 UTC,5/15/10,J1772,Free
132,TUCSON RENTAL OFF NETWORK 1,9855 E Speedway Blvd,Tucson,AZ,85748,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,ChargePoint Network,32.236156,-110.781792,10/12/23,36343,2023-10-12 00:05:33 UTC,5/15/10,J1772 NEMA515,
133,ARUNDEL MILLS ELEMENT HOTELS,7522 Teague Rd,Hanover,MD,21076,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,ChargePoint Network,39.155907,-76.717216,10/12/23,36363,2023-10-12 00:05:33 UTC,7/15/10,NEMA515,
134,Element Hotels - Ewing,1000 Sam Weinroth Rd,Ewing,NJ,8628,Public,24 hours daily; for guest use only,,2,,Non-Networked,40.286518,-74.807516,12/13/22,36368,2023-02-14 15:54:11 UTC,5/15/10,J1772,Free
135,Lane Community College,4000 E 30th Ave,Eugene,OR,97405,Public,"Employee, student, and visitor use only; Drivers must bring their own J1772 cordset for Level 1 charging",10,10,,Non-Networked,44.009797,-123.033213,9/14/23,36371,2023-09-14 14:01:49 UTC,9/5/10,J1772 NEMA520,Free
136,BROOKFIELD PROP 300 CLAY STAT1,300 Clay St,Houston,TX,77002,Public,24 hours daily,,2,,ChargePoint Network,29.756604,-95.372854,10/12/23,36378,2023-10-12 00:21:34 UTC,10/2/15,J1772,
137,Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,Malta,NY,12020,Public,7am-10pm M-Sat; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,Non-Networked,42.97167,-73.774182,3/8/23,36532,2023-03-08 17:16:33 UTC,10/15/10,NEMA520,Free
138,Goleta Mechanics Bank,5956 Calle Real,Goleta,CA,93117,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,1,,Non-Networked,34.44198,-119.829553,1/10/22,36610,2022-02-10 19:42:29 UTC,7/15/10,J1772,Free
139,INTERPARK 50 EAST OHIO 2,50 E Ohio St,Chicago,IL,60611,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,ChargePoint Network,41.892757,-87.626038,10/12/23,36619,2023-10-12 00:05:33 UTC,2/15/11,J1772 NEMA515,
140,City of Spartanburg - Municipal Parking Garage,100 Dunbar St,Spartanburg,SC,29306,Public,24 hours daily; pay lot,,2,,Non-Networked,34.950136,-81.93279,6/12/23,36709,2023-06-12 16:56:16 UTC,12/15/10,J1772,Free
141,City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,Public,24 hours daily,,2,,Non-Networked,34.951926,-81.931714,6/12/23,36710,2023-06-12 16:56:16 UTC,12/15/10,J1772,Free
142,City of Union Town Hall,101 Sharpe Ave,Union,SC,29379,Public,24 hours daily,,2,,Non-Networked,34.715982,-81.624616,6/14/22,36711,2023-02-14 15:54:11 UTC,12/15/10,J1772,Free
143,Whole Foods Market,350 Grasmere Ave,Fairfield,CT,6824,TEMPORARILY UNAVAILABLE (Public),8am-10pm daily; for customer use only; see inside for access,,2,,Non-Networked,41.157925,-73.240315,4/6/23,36923,2023-04-06 17:17:01 UTC,6/1/11,J1772,Free
144,Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,CT,6510,Public,24 hours daily; pay lot,,2,,Non-Networked,41.305794,-72.927405,5/3/23,36924,2023-05-03 20:36:28 UTC,12/15/10,J1772 TESLA,Free
145,New London Parking Authority - Water Street Public Parking Garage,161 Water St,New London,CT,6320,Public,Restricted to garage hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,2,4,,Non-Networked,41.355486,-72.093784,8/10/22,36928,2023-02-14 15:54:11 UTC,7/1/13,J1772 NEMA520,Free
146,Town of Westport - Westport Metro North,1 Railroad Pl,Westport,CT,6880,Public,24 hours daily; pay lot,1,1,,Non-Networked,41.119291,-73.369266,5/6/21,36931,2022-02-10 19:42:29 UTC,9/1/12,J1772 NEMA520,Free
147,Park 'N Fly - Bradley International Airport,1186 South St,Suffield,CT,6078,Public,24 hours daily; pay lot; see attendant for access,,2,,Non-Networked,41.951328,-72.663078,6/14/22,36932,2023-02-14 15:54:11 UTC,12/15/11,J1772,Free
148,GATEWAYKENOSHA HORIZON MAINLOT,4940 88th Avenue,Kenosha,WI,53144,Public,24 hours daily,,2,,ChargePoint Network,42.592469,-87.915847,10/12/23,36949,2023-10-12 00:18:19 UTC,10/15/10,J1772,
149,MGE GREENWAY STAT,1611 Aspen Commons,Middleton,WI,53562,Public,24 hours daily,,2,,ChargePoint Network,43.091229,-89.52884,10/12/23,36951,2023-10-12 00:08:24 UTC,10/15/10,J1772,
150,Baker Electric Building,7100 Euclid Ave,Cleveland,OH,44103,Public,24 hours daily,,1,,Non-Networked,41.503373,-81.639054,7/12/22,37097,2023-02-14 15:54:11 UTC,12/15/10,J1772,Free
151,McDonald's,116 5th Ave,Huntington,WV,25703,Public,24 hours daily; for customer use only; see inside for access,,2,,Non-Networked,38.417603,-82.456866,9/14/23,37104,2023-09-14 14:01:49 UTC,12/15/10,J1772,Free
152,OUC OC BARNETT 1,4801 W Colonial Dr,Orlando,FL,32808,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,2,,ChargePoint Network,28.560572,-81.441748,10/12/23,37150,2023-10-12 00:15:51 UTC,5/1/12,J1772,
153,OUC OC MARKS ST 01,99 E Marks St,Orlando,FL,32803,Public,24 hours daily,,2,,ChargePoint Network,28.556879,-81.377632,10/12/23,37151,2023-10-12 00:15:50 UTC,5/1/12,J1772,
154,OUC OUC OCCC 03,9899 International Drive,Orlando,FL,32819,Public,24 hours daily,,2,,ChargePoint Network,28.429015,-81.458938,10/12/23,37154,2023-10-12 00:15:57 UTC,7/31/12,J1772,
155,OUC OC W LIBRARY 01,5151 Raleigh St,Orlando,FL,32811,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,2,,ChargePoint Network,28.528024,-81.44774,10/12/23,37161,2023-10-12 00:15:57 UTC,5/1/12,J1772,
156,Agilix Solutions,2023 Westport Center Dr,St. Louis,MO,63146,Public,24 hours daily; employee and visitor use only,,1,,Non-Networked,38.694036,-90.4218,8/10/23,37166,2023-08-10 16:58:49 UTC,2/15/11,J1772,Free
157,HILLSBORO OR MAIN ST 1,150 E Main St,Hillsboro,OR,97123,Public,24 hours daily,,2,,ChargePoint Network,45.522609,-122.988535,10/12/23,37170,2023-10-12 00:15:33 UTC,11/15/10,J1772,
158,HILLSBORO OR ITF EV-8,253 SE 8th Ave,Hillsboro,OR,97123,Public,24 hours daily,,2,,ChargePoint Network,45.520533,-122.978089,10/12/23,37171,2023-10-12 00:32:57 UTC,11/15/10,J1772,
159,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,Public,24 hours daily,,2,,ChargePoint Network,47.614744,-122.193162,10/12/23,37181,2023-10-12 00:18:17 UTC,12/15/10,J1772,
160,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,1945 SE Water Ave,Portland,OR,97214,Public,24 hours daily; for customer use only,,1,,Non-Networked,45.509326,-122.666392,7/11/23,37651,2023-07-11 18:28:56 UTC,10/15/08,J1772,Free
161,Liberty Park,520 E,Salt Lake City,UT,84119,Public,24 hours daily; maximum session time of 4 hours,,4,,Non-Networked,40.74686,-111.876,12/9/21,37655,2022-02-10 19:42:29 UTC,12/15/10,J1772,Free
162,The Hartford Financial Services Group - Lot 4,1 Hartford Plaza,Hartford,CT,6105,Private,Employee and visitor use only,,2,,Non-Networked,41.770428,-72.687141,7/12/22,37679,2023-02-15 22:45:41 UTC,4/1/11,J1772,
163,The Hartford Financial Services Group,1 Griffin Rd N,Windsor,CT,6095,Private,Employee and visitor use only,,3,,Non-Networked,41.879631,-72.729919,7/12/22,37681,2023-02-15 22:45:41 UTC,4/1/11,J1772,
164,JCCC MTC,12345 College Blvd,Overland Park,KS,66210,Public,24 hours daily,,2,,ChargePoint Network,38.92591,-94.72819,10/12/23,37683,2023-10-12 00:26:57 UTC,8/15/11,J1772,
165,Courtyard Marriott - Hadley Amherst,423 Russell St,Hadley,MA,1035,Public - Call ahead,24 hours daily; for guest use only,,1,,Non-Networked,42.36262,-72.5395,10/12/21,37813,2023-10-11 18:39:18 UTC,1/15/11,J1772,Free
166,City of Delray Beach - Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,Public,24 hours daily,,3,,Non-Networked,26.465314,-80.07219,1/10/23,37835,2023-02-14 15:54:11 UTC,6/15/11,J1772,Free
167,KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,Public,24 hours daily,,2,,ChargePoint Network,47.545324,-122.0195,10/12/23,38082,2023-10-12 00:32:29 UTC,2/15/08,J1772,
168,King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,Private,,,3,,Non-Networked,47.675897,-122.091237,7/11/23,38083,2023-07-11 18:28:56 UTC,7/15/11,J1772,
169,Eversource,56 Prospect St,Hartford,CT,6106,Private,,,2,,Non-Networked,41.765253,-72.671569,7/12/22,38096,2023-02-15 22:45:41 UTC,11/2/15,J1772,
170,SEAPORT GARAGE EAST GARAGE2 P1,1 Seaport Ln,Boston,MA,2210,Public,24 hours daily,,2,,ChargePoint Network,42.349249,-71.041557,10/12/23,38254,2023-10-12 00:17:09 UTC,3/15/09,J1772,
171,City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,Public,24 hours daily; pay lot,,8,,Non-Networked,34.00741493,-81.0348006,9/14/23,38298,2023-09-14 14:01:49 UTC,3/15/11,J1772,$0.75 per hour parking fee
172,City of Columbia - Washington Street Garage,1100 Washington St,Columbia,SC,29201,Public,Garage business hours; pay lot,,2,,Non-Networked,34.003323,-81.035693,9/14/23,38299,2023-09-14 14:01:49 UTC,3/15/11,J1772,$0.75 per hour parking fee
173,City of Columbia - Arsenal Hill Garage,1812 Lincoln St,Columbia,SC,29201,Public,Garage business hours; pay lot,,2,,Non-Networked,34.008409,-81.041802,9/14/23,38300,2023-09-14 14:01:49 UTC,3/15/11,J1772,$0.75 per hour parking fee
174,City of Columbia - Lincoln Street Garage,820 Washington St,Columbia,SC,29201,Public,Garage business hours; pay lot,,2,,Non-Networked,34.002255,-81.040219,1/10/22,38301,2022-02-10 19:42:29 UTC,3/15/11,J1772,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
175,Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,Public,Zoo hours,,2,,Non-Networked,34.84709,-82.387269,6/14/22,38302,2023-02-14 15:54:11 UTC,3/15/11,J1772,Free
176,City of Greenville - Poinsett Garage,25 W McBee Ave,Greenville,SC,29601,Public,24 hours daily; pay lot,,4,,Non-Networked,34.849724,-82.400667,6/14/22,38303,2023-02-14 15:54:11 UTC,3/1/11,J1772,Free
177,City of Greenville - Spring Street Garage,316 S Spring St,Greenville,SC,29601,Public,24 hours daily,,2,,Non-Networked,34.849889,-82.397797,6/14/22,38304,2023-02-14 15:54:11 UTC,3/15/11,J1772,Free
178,City of Greenville - Church Street Garage,320 N Church St,Greenville,SC,29601,Public,24 hours daily; pay lot,,2,,Non-Networked,34.852754,-82.393113,6/14/22,38305,2023-02-14 15:54:11 UTC,3/15/11,J1772,Free
179,City of Columbia - Park Street Garage,1007 Park St,Columbia,SC,29201,Public,Garage business hours; pay lot,,2,,Non-Networked,33.997786,-81.036161,1/10/22,38306,2022-02-10 19:42:29 UTC,3/15/11,J1772,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
180,City of Greenville - Commons Garage,60 Beattie Pl,Greenville,SC,29601,Public,24 hours daily; pay lot,,2,,Non-Networked,34.852789,-82.396195,6/14/22,38307,2023-02-14 15:54:11 UTC,3/15/11,J1772,Free
181,City of Greenville - Liberty Square Garage,65 Beattie Pl,Greenville,SC,29601,Public,24 hours daily; pay lot,,2,,Non-Networked,34.85335,-82.394826,6/14/22,38308,2023-02-14 15:54:11 UTC,3/15/11,J1772,Free
182,City of Greenville - Richardson Garage,66 Richardson St,Greenville,SC,29601,Public,24 hours daily; pay lot,,2,1,Non-Networked,34.852437,-82.399901,6/14/22,38309,2023-02-14 15:54:11 UTC,3/15/11,CHADEMO J1772 J1772COMBO,Free
183,City of Rock Hill - Municipal Garage,121 E Black St,Rock Hill,SC,29730,Public,24 hours daily,,2,,Non-Networked,34.925782,-81.028444,1/10/22,38310,2022-02-10 19:42:29 UTC,3/15/11,J1772,Free
184,Timken Sports Complex,725 Rice Ave,Union,SC,29379,Public,24 hours daily,,2,,Non-Networked,34.716556,-81.648482,6/12/23,38312,2023-06-12 16:56:16 UTC,3/15/11,J1772,
185,Lockhart Power,420 River St,Lockhart,SC,29364,Public,24 hours daily,,4,,Non-Networked,34.77993955,-81.45735907,6/12/23,38313,2023-06-12 16:56:16 UTC,3/15/11,J1772,Free
186,Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,Public - Call ahead,Dealership business hours; priority for customer use,,3,,Non-Networked,34.019875,-118.49151,8/10/22,38379,2023-02-14 15:54:11 UTC,11/15/10,J1772,
187,Parc 55 Hotel,55 Cyril Magnin,San Francisco,CA,94102,TEMPORARILY UNAVAILABLE (Public),24 hours daily; pay lot,,1,,Non-Networked,37.784871,-122.408991,9/14/23,38517,2023-09-14 14:01:49 UTC,2/1/11,J1772,
188,Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,Public,24 hours daily; pay lot,,5,,Non-Networked,37.806798,-122.419488,9/14/23,38518,2023-09-14 14:01:49 UTC,2/1/11,J1772,Free
189,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,Public,24 hours daily; pay lot,,12,2,Non-Networked,34.010528,-118.4898,1/10/23,38521,2023-02-14 15:54:11 UTC,11/15/10,CHADEMO J1772,Free
190,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,Public,24 hours daily; pay lot,18,9,1,Non-Networked,39.843886,-104.771138,12/9/21,38522,2023-06-16 17:39:11 UTC,10/19/10,CHADEMO J1772 NEMA515,Free
191,Town of Superior - Town Hall,124 E Coal Creek Dr,Superior,CO,80027,Public,24 hours daily,,2,,Non-Networked,39.953798,-105.166116,11/10/22,38523,2023-02-14 15:54:11 UTC,7/1/20,J1772,$0.18 per kWh for first four hours; additional $25 fee after four hours
192,Charles Hotel - Harvard Square,1 Bennett St,Cambridge,MA,2138,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,1,4,,Non-Networked,42.372442,-71.122882,2/13/23,38525,2023-07-13 14:21:19 UTC,9/13/10,J1772 NEMA515,Free
193,Town of Dyer - Town Hall,1 Town Square,Dyer,IN,46311,Public,24 hours daily,,2,,Non-Networked,41.492057,-87.522819,1/10/23,38774,2023-02-14 15:54:11 UTC,10/15/10,J1772,Free
194,Peaches Bed & Breakfast,29 Gay Ave SE,Grand Rapids,MI,49503,Public - Call ahead,24 hours daily; guest use only,,1,,Non-Networked,42.962078,-85.659019,6/12/23,38778,2023-06-12 20:10:10 UTC,4/15/11,J1772,Free
195,City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,61761,Public,24 hours daily,,2,,Non-Networked,40.507796,-88.982897,10/11/22,38855,2023-02-14 15:54:11 UTC,4/15/11,J1772,Free
196,College Avenue Parking Deck,101 W Mulberry St,Normal,IL,61761,Public,24 hours daily,,3,,Non-Networked,40.511172,-88.984985,10/11/22,38856,2023-02-14 15:54:11 UTC,4/15/11,J1772,Free; parking fee
197,State of Illinois - Governor's Mansion,401-499 E Edwards St,Springfield,IL,62703,Private,For state vehicle use only,,1,,Non-Networked,39.79628,-89.6504,11/4/21,38857,2023-02-15 22:45:41 UTC,3/15/11,J1772,
198,Duke Energy,1000 E Main St,Plainfield,IN,46168,Private,,,9,,Non-Networked,39.70909,-86.3894,1/10/23,38859,2023-02-14 15:54:11 UTC,3/15/11,J1772,
199,MCDONALD SWLA CHARGE AT MCD 1,625 E Prien Lake Rd,Lake Charles,LA,70601,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,ChargePoint Network,30.198704,-93.212318,10/12/23,38861,2023-10-12 00:05:33 UTC,12/15/10,J1772 NEMA515,
200,3M,3M Center Dr,St. Paul,MN,55117,Private,Employee use only; Drivers must bring their own J1772 cordset for Level 1 charging,42,2,,Non-Networked,44.95121,-92.9952,3/8/23,38887,2023-03-08 17:16:33 UTC,12/11/14,J1772 NEMA520,
201,UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Bothell,WA,98011,Public,24 hours daily,,2,,ChargePoint Network,47.761878,-122.191915,10/12/23,38952,2023-10-12 00:15:03 UTC,3/15/11,J1772,
202,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,Public,24 hours daily,,2,,ChargePoint Network,47.679224,-122.12995,10/12/23,38959,2023-10-12 00:10:40 UTC,3/15/11,J1772,
203,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,Public,24 hours daily,,2,,ChargePoint Network,47.672359,-122.099034,10/12/23,38966,2023-10-12 00:10:40 UTC,3/15/11,J1772,
204,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,2,,ChargePoint Network,47.734211,-122.147041,10/12/23,38976,2023-10-12 00:21:52 UTC,3/15/11,J1772,
205,MGE PINNACLE HEALTH,5973 Executive Dr,Fitchburg,WI,53719,Public,24 hours daily,,1,,ChargePoint Network,43.011411,-89.459112,10/12/23,38978,2023-10-12 00:21:28 UTC,3/15/11,J1772,
206,MGE WILLY ST W,6825 University Ave,Middleton,WI,53562,Public,24 hours daily,,1,,ChargePoint Network,43.096636,-89.500008,10/12/23,39006,2023-10-12 00:19:37 UTC,3/15/11,J1772,
207,City of Raleigh - Municipal Building,285 W Hargett St,Raleigh,NC,27601,Public,24 hours daily; metered parking,,2,,Non-Networked,35.778416,-78.64347,1/10/23,39016,2023-02-14 15:54:11 UTC,10/15/10,J1772,Free; metered parking
208,City of Raleigh - Downtown,215 W Cabarrus St,Raleigh,NC,27601,Public,24 hours daily,,1,,Non-Networked,35.77435,-78.642287,1/10/23,39017,2023-02-14 15:54:11 UTC,2/15/11,J1772,Free; meter charge
209,Missouri University of Science and Technology - E3 Commons,903 Collegiate Blvd,Rolla,MO,65401,Private,,,2,,Non-Networked,37.958953,-91.779289,1/10/22,39096,2023-02-15 22:45:41 UTC,3/1/11,J1772,
210,Clay Cooley Nissan,4914 S IH-35,Austin,TX,78745,Public - Call ahead,Dealership business hours,,2,1,Non-Networked,30.206145,-97.759109,6/9/20,39114,2023-02-15 22:45:41 UTC,1/15/11,CHADEMO J1772,Free
211,Eversource Energy Park,780 N Commercial St,Manchester,NH,3101,Private,Employee use only,,1,,Non-Networked,42.999265,-71.467911,12/13/22,39294,2023-02-15 22:45:41 UTC,4/15/11,J1772,
212,Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,Public - Call ahead,24 hours daily; guests may request use of the chargers when making hotel reservations,,1,,Non-Networked,39.1458,-123.198497,5/3/23,39314,2023-05-03 20:36:28 UTC,5/15/11,J1772,$10 per session
213,KEMET Corp,2835 Kemet Way,Simpsonville,SC,29681,Private,KEMET employee and official visitor use only,,1,,Non-Networked,34.749177,-82.279741,1/10/22,39414,2023-02-15 22:45:41 UTC,5/15/11,J1772,
214,Hotel Floyd,120 Wilson St,Floyd,VA,24091,Public,8am-10pm daily; guest use only,,1,,Non-Networked,36.910575,-80.31736,11/10/22,39514,2023-02-14 15:54:11 UTC,6/1/11,J1772,Free for guests; $10 for non-guests
215,Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,1111 W Broad St,Richmond,VA,23284,Public,24 hours daily,,4,,ChargePoint Network,37.551409,-77.45233,1/10/23,39574,2023-02-14 15:54:11 UTC,5/15/11,J1772,Free
216,Virginia Commonwealth University (VCU) - N-Deck Parking Deck,615 N 10th St,Richmond,VA,23298,Private,"24 hours daily; students, faculty, and staff may purchase parking permits through VCU",,5,,ChargePoint Network,37.543387,-77.42953,1/10/23,39575,2023-02-14 15:54:11 UTC,5/15/11,J1772,Free
217,Oak Ridge Nissan,101 S Illinois Ave,Oak Ridge,TN,37830,Public - Call ahead,Dealership business hours,,1,,Non-Networked,36.010279,-84.268049,6/9/20,39705,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
218,Newton Nissan South,2801 Highway 231 N,Shelbyville,TN,37160,Public - Call ahead,Dealership business hours,,1,,Non-Networked,35.558371,-86.448276,6/9/20,39707,2021-03-11 23:22:17 UTC,3/15/11,J1772,Free
219,McGavock Nissan - Abilene,818 E Overland Trail,Abilene,TX,79606,Public - Call ahead,Dealership business hours,,1,,Non-Networked,32.408909,-99.771463,6/9/20,39708,2021-03-11 23:22:17 UTC,3/15/11,J1772,Free
220,McGavock Nissan - Amarillo,4700 S Soncy Rd,Amarillo,TX,79119,Public,Dealership business hours,,2,,Non-Networked,35.159354,-101.938937,6/9/20,39709,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
221,Don Davis Nissan,1320 E Interstate 20,Arlington,TX,76018,Public - Call ahead,Dealership business hours,,1,,Non-Networked,32.676458,-97.087169,6/9/20,39710,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
222,Town North Nissan,9160A Research Blvd,Austin,TX,78758,Public - Call ahead,Dealership business hours,,1,1,Non-Networked,30.374542,-97.731445,12/13/22,39711,2023-02-14 15:54:11 UTC,3/15/11,CHADEMO J1772 J1772COMBO,Free
223,Baytown Nissan,5445 I-10 E,Baytown,TX,77521,Public - Call ahead,Dealership business hours,,1,,Non-Networked,29.807253,-94.97383365,6/9/20,39712,2021-03-11 23:22:17 UTC,3/15/11,J1772,Free
224,Mike Smith Nissan,1515 Interstate 10 S,Beaumont,TX,77701,Public - Call ahead,Dealership business hours,,1,,Non-Networked,30.062535,-94.133511,6/9/20,39713,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
225,Grubbs Nissan,310 Airport Fwy,Bedford,TX,76022,Public - Call ahead,Dealership business hours,,1,2,Non-Networked,32.839339,-97.160994,3/7/22,39714,2023-02-14 15:54:11 UTC,3/15/11,CHADEMO J1772 J1772COMBO,Free
226,Douglass Nissan,1001 Earl Rudder Fwy S,College Station,TX,77845,Public - Call ahead,Dealership business hours,,1,,Non-Networked,30.639201,-96.30671,6/9/20,39715,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
227,Ed Hicks Nissan,3000 S Padre Island Dr,Corpus Christi,TX,78415,Public - Call ahead,Dealership business hours,,1,,Non-Networked,27.73082,-97.416019,6/9/20,39717,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
228,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,Dallas,TX,75237,Public - Call ahead,Dealership business hours,,1,1,Non-Networked,32.646784,-96.863492,3/7/22,39718,2023-02-14 15:54:11 UTC,12/30/10,CHADEMO J1772 J1772COMBO,Free
229,Classic Nissan,2010 US Highway 75 N,Denison,TX,75020,Public - Call ahead,Dealership business hours,,1,,Non-Networked,33.775328,-96.58308,6/9/20,39719,2023-02-15 22:45:41 UTC,3/15/11,J1772,Free
