Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
10692,WA,Electric Vehicle (EV) Charging Signage and Parking Regulations,"A public EV charging station is defined as a public parking space that
is served by charging equipment. Public EV charging stations must have
vertical signage that identifies the station and indicates that it is
only for EV charging. The signage must be consistent with the U.S.
Department of Transportation Federal Highway Administration's [Manual on
Uniform Traffic Control Devices](https://mutcd.fhwa.dot.gov/).

By 2023, all public EV charging stations must also display all charges
and fees associated with operation. Any person who parks a vehicle in a
public EV charging station parking space and does not connect to the
equipment is subject to a fine of \$124.

By 2023, the Department of Agriculture must adopt rules requiring
electric vehicle service providers (EVSP) to meet interoperability
standards and offer multiple payment methods at public EV charging
stations. EVSPs must report inventory and payment information to the
National Renewable Energy Laboratory annually. Charging stations
installed before January 1, 2024, are exempt from the rules until
January 1, 2034.

(Reference [Revised Code of Washington 46.08.185 and 19.94](http://apps.leg.wa.gov/rcw/default.aspx))",2013-04-23 00:00:00 UTC,,false,80,Laws and Regulations,"",2021-06-14 17:52:42 UTC,,,,"",ELEC|PHEV,"",REGIS,STATION|IND,http://apps.leg.wa.gov/rcw/default.aspx|https://leg.wa.gov/|https://leg.wa.gov/,enacted,2013-04-23
11610,WA,Utility Electrification Plans and Return on Investment Authorization,"Utilities are authorized to submit transportation electrification plans
that deploy electric vehicle (EV) charging stations or programs and
incentives that support transportation electrification. Additionally,
utilities may petition the Washington Utilities and Transportation
Commission (UTC) for a rate of return on EV charging station installed
for the benefit of ratepayers through December 31, 2030. The UTC may
approve an additional 2% to the standard rate of return if the utility
installs EV charging stations on a fully regulated basis similar to
other capital investments behind a customer's meter, and the
expenditures do not increase ratepayer costs more than 0.25%. EV
charging stations are subject to a depreciation schedule and may be
gifted to the customer when fully depreciated. The UTC issued a
[report](https://app.leg.wa.gov/ReportsToTheLegislature/Home/GetPDF?fileName=EVSE%20Report%20to%20the%20Legislature%20-%20Final_a9efaf10-04d7-4c3e-b2df-f0c3da1d06ed.pdf)
on the use and impacts of the incentive in 2017.

(Reference [Revised Code of Washington 80.28.360](http://apps.leg.wa.gov/rcw))",2015-05-11 00:00:00 UTC,2019-04-30 00:00:00 UTC,false,17,State Incentives,"",2019-05-10 00:34:17 UTC,2030-12-31 00:00:00 UTC,,,"",ELEC|PHEV,OTHER,"",STATION|AFP,http://apps.leg.wa.gov/rcw|http://leg.wa.gov/,amended,2019-04-30
11803,WA,Alternative Fueling Infrastructure Grant Program,"The Washington State Department of Transportation (WSDOT) offers
competitive grants to strengthen and expand the [West Coast Electric
Highway](http://www.westcoastgreenhighway.com/WAelectrichighways.htm)
network by deploying Level 2 and direct current fast charging (DCFC)
electric vehicle (EV) chargers and hydrogen fueling infrastructure along
highway corridors in Washington. Eligible project costs include siting,
equipment purchases, electrical upgrades, installation, operations, and
maintenance. For more information, including funding availability and
application periods, see the WSDOT [Zero Emission Vehicle
Grants](https://wsdot.wa.gov/business-wsdot/grants/zero-emission-vehicle-grants)
website.

(Reference [Revised Code of Washington 47.04.350](http://apps.leg.wa.gov/rcw/))",2015-07-16 00:00:00 UTC,2019-05-07 00:00:00 UTC,false,5,State Incentives,"",2019-06-07 20:58:57 UTC,,,,"",ELEC|HY|PHEV,GNT,"",STATION,http://apps.leg.wa.gov/rcw/|http://leg.wa.gov/,amended,2019-05-07
11951,WA,Volkswagen (VW) Settlement Allocation,"The Washington State Department of Ecology (Ecology) will work with the
Office of the Governor and state agencies to select projects and
distribute funding to leverage 15% of Washington\'s portion of the [VW
Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
for the acquisition, installation, operation, and maintenance of
light-duty zero-emission vehicle charging infrastructure.

Ecology will establish a competitive process to identify and select
projects to fund with the remaining 85% of the appropriation to maximize
total air pollution reduction and health benefits, improve air quality
in areas disproportionately affected by air pollution, leverage
additional matching funds, achieve substantial emission reduction beyond
what would occur absent the funding, accelerate fleet turnover to the
cleanest engines, and accelerate adoption of electric vehicles,
equipment, and vessels. As appropriate, Ecology will work with state
agencies to select projects and distribute funding. For more
information, see the Ecology [VW Enforcement
Action](https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Volkswagen-enforcement-action-grants)
website.
",2018-03-27 00:00:00 UTC,,false,75,Laws and Regulations,"",2018-04-24 21:28:51 UTC,,,,"",ELEC|HY|PHEV,"",AIRQEMISSIONS,OTHER,"",enacted,2018-03-27
12211,WA,Utility Electric Transportation Plan Authorization,"The governing authority or commission of an electric utility may adopt
an electric transportation plan that proves that utility outreach and
investment in the electrification of transportation infrastructure does
not increase net costs to ratepayers in excess of 0.025%. The governing
authority or commission may consider items such as the impact of
electrification on the utilities load, demand response and load
management opportunities, system reliability and distribution system
efficiencies, and interoperability concerns. Upon making this
determination, electric utilities may offer incentive programs for
customers.

(Reference [Revised Code of Washington 35.92.450](https://apps.leg.wa.gov/rcw/))",2019-04-23 00:00:00 UTC,,false,85,Laws and Regulations,"",2019-05-10 00:41:38 UTC,,,,"",ELEC|PHEV,"",OTHER,OTHER,https://apps.leg.wa.gov/rcw/|http://leg.wa.gov/|https://apps.leg.wa.gov/rcw/,enacted,2019-04-23
12222,WA,Green Transportation Grant Program,"The Washington State Department of Transportation (WSDOT) offers grants
for projects that reduce the carbon intensity of the Washington
transportation system, including fleet electrification, modification or
replacement of facilities to facilitate fleet electrification and
hydrogen fueling, upgrades to electrical transmission and distribution
systems, and constructing of charging and fueling infrastructure. To be
eligible, a transit authority must provide matching funding of at least
20% of the total cost of the project. Priority will be given to projects
that serve [overburdened
communities](https://ecology.wa.gov/Air-Climate/Climate-Commitment-Act/Overburdened-communities)
and underserved populations. For more information, including funding
availability and program dates, see the WSDOT [Green Transportation
Capital
Grants](https://wsdot.wa.gov/transit/grants/green-transportation-capital)
website.

(Reference [Revised Code of Washington 47.66.120](http://apps.leg.wa.gov/rcw/) and [House Bill 1125, 2023](http://leg.wa.gov/))",2019-05-07 00:00:00 UTC,,false,18,State Incentives,"",2019-06-07 21:05:15 UTC,,,,"",ELEC|HY|PHEV,GNT,"",STATION|GOV|OTHER,http://leg.wa.gov/|http://apps.leg.wa.gov/rcw/|http://leg.wa.gov/,enacted,2019-05-07
12224,WA,Alternative Fuel Vehicle (AFV) Retail Sales and Use Tax Exemption,"The sale or lease of new or used passenger vehicles, light-duty trucks,
and medium-duty passenger AFVs is exempt from the state retail sales and
use tax. Eligible AFVs include those powered by natural gas, propane,
hydrogen, or electricity. To be eligible, new vehicles may not be valued
above \$45,000 and used vehicles may not be valued above \$30,000. The
tax exemption may apply to all or a portion of the vehicle's value. The
maximum eligible amount for used purchased or leased vehicles is
\$16,000. The Maximum exemption amounts for vehicles are as follows:

::: {data-align=""center""}
  Purchase or Lease Year           Maximum New Vehicle Price Eligible for Exemption   Maximum Leased Vehicle Price Eligible for Exemption
  -------------------------------- -------------------------------------------------- -----------------------------------------------------
  August 1, 2021 - July 31, 2023   \$20,000                                           \$16,000
  August 1, 2023 - July 31, 2025   \$15,000                                           \$16,000
:::

For more information, see the Renewable Energy/Green Incentives section
of Washington Department of Revenue's [Incentives
Programs](https://dor.wa.gov/find-taxes-rates/tax-incentives/incentive-programs)
website.

(Reference [Revised Code of Washington 82.12.9999](http://apps.leg.wa.gov/rcw/))",2019-05-07 00:00:00 UTC,,false,19,State Incentives,"",2019-06-07 21:19:50 UTC,2028-08-01 00:00:00 UTC,,,"",ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|OTHER|IND,http://leg.wa.gov/|http://apps.leg.wa.gov/rcw/|http://apps.leg.wa.gov/rcw/,enacted,2019-05-07
12225,WA,Alternative Fuel Vehicle (AFV) Technical Assistance and Education Program,"The Washington State University (WSU) [Energy
Program](http://www.energy.wsu.edu/) must establish and administer a
technical assistance and education program on the use of AFVs for public
agencies, including state and local governments. For more information,
visit the WSU Energy Program [Green Transportation
Program](http://www.energy.wsu.edu/GreenTransportationProgram.aspx)
website.

(Reference [Revised Code of Washington 28B.30.903](http://apps.leg.wa.gov/rcw/))",2019-05-07 00:00:00 UTC,,false,117,Laws and Regulations,"",2019-06-07 21:28:59 UTC,,,,"",ELEC|HY|NG|PHEV|LPG,"",OTHER,FLEET|GOV|TRANS,http://apps.leg.wa.gov/|http://apps.leg.wa.gov/rcw/,enacted,2019-05-07
12385,WA,Mandatory Electric Vehicle (EV) Charging Station Building Standards,"At least one parking space, or 10% of parking spaces rounded to the next
whole number, must be made-ready for Level 2 EV charging stations at all
new buildings. Electrical capacity must accommodate the potential to
serve a minimum of 20% of the total parking spaces with Level 2 EV
charging stations. For assembly, education, or mercantile buildings, the
requirements apply only to employee parking spaces. Buildings classified
as utility or miscellaneous and some residential buildings are exempt
from these requirements. Additional terms and conditions apply.

(Reference [Revised Code of Washington 51-50-0429](https://apps.leg.wa.gov/rcw/))",2019-05-07 00:00:00 UTC,,false,83,Laws and Regulations,"",2020-04-13 15:43:07 UTC,,,,"",ELEC|PHEV,"",BUILD|OTHER,OTHER,http://leg.wa.gov/|https://apps.leg.wa.gov/rcw/,enacted,2019-05-07
12472,WA,Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Deployment Support,"California, Colorado, Connecticut, District of Columbia, Hawaii, Maine,
Maryland, Massachusetts, Nevada, New Jersey, New York, North Carolina,
Oregon, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington
(signatory states) signed a [memorandum of
understanding](https://www.nescaum.org/documents/mhdv-zev-mou-20220329.pdf/)
(MOU) to support the deployment of medium- and heavy-duty (MHD) ZEVs
through involvement in a Multi-State ZEV Task Force (Task Force).

In July 2022, the Task Force published a [multi-state action
plan](https://www.nescaum.org/documents/multi-state-medium-and-heavy-duty-zev-action-plan.pdf)
to support electrification of MHD vehicles. The action plan includes
strategies and recommendations to accomplish the goals of the MOU,
including limiting all new MHD vehicle sales in the signatory states to
ZEVs by 2050, accelerating the deployment of MHD ZEVs, and ensuring MHD
ZEV deployment also benefits disadvantaged communities.

For more information, see the [Medium- and Heavy-Duty ZEVs: Action Plan
Development
Process](https://www-f.nescaum.org/documents/multi-state-medium-and-heavy-duty-zero-emission-vehicle-action-plan/)
website.
",2020-07-14 00:00:00 UTC,,false,152,Laws and Regulations,"",2020-08-03 15:41:14 UTC,,,,"",ELEC|HY|PHEV,"",AIRQEMISSIONS,OTHER,"",enacted,2020-07-14
12590,WA,Zero Emission Vehicles (ZEVs) Support,"The Department of Commerce must develop and maintain a publicly
available mapping and forecasting tool that locates and provides
information on electric vehicle charging and refueling infrastructure.
Electric utilities with more than 25,000 customers must analyze how
their resource plans support and account for anticipated levels of ZEV
use, relevant infrastructure forecasts and associated energy impacts,
and information from the utilities' transportation electrification
plans.

(Reference [Revised Code of Washington 19.280.030](http://apps.leg.wa.gov/rcw/default.aspx))",2021-07-25 00:00:00 UTC,,false,77,Laws and Regulations,"",2021-06-11 16:19:58 UTC,,,,"",ELEC|HY|PHEV,"",CCEINIT,GOV,http://apps.leg.wa.gov/rcw/default.aspx,enacted,2021-07-25
12605,WA,Residential Electric Vehicle (EV) Charging Station Rebate - Snohomish Public Utility District (PUD),"Snohomish PUD offers residential customers a \$350 rebate for the
purchase and installation of qualified Level 2 EV charging station. For
more information, see the Snohomish PUD
[EV](https://www.snopud.com/save-energy/electric-vehicles/residential/tax-credits-rebates/)
website.
",,,false,74,Utility / Private Incentives,"",2021-06-14 17:22:55 UTC,,,,"",ELEC|PHEV,RBATE,"",IND,"",,
12608,WA,Electric Vehicle (EV) Charging Station Rebate – Clark Public Utilities (CPU),"CPU offers customers rebates for the purchase and installation of Level
2 EV charging station. Rebates are available in the following amounts:

::: {data-align=""center""}
  Eligible Customers                        EV Charging Station Type                       Rebate Amount
  ----------------------------------------- ---------------------------------------------- ---------------
  Residential                               Non-ENERGY STAR certified; not Wi-Fi enabled   \$100
  Residential                               Mobile connector for 240V outlet               \$100
  Residential, Commercial, and Industrial   ENERGY STAR certified; Wi-Fi enabled           \$500
:::

For more information, including funding availability, see the CPU
[Residential Electric
Vehicle](https://www.clarkpublicutilities.com/residential-customers/reduce-energy-waste-and-lower-your-bill/all-rebates-incentives-and-low-interest-loans/electric-vehicle-program/)
website and the CPU [Commercial and Industrial Electric
Vehicle](https://www.clarkpublicutilities.com/residential-customers/reduce-energy-waste-and-lower-your-bill/all-rebates-incentives-and-low-interest-loans/electric-vehicle-program/)
website.
",,,false,74,Utility / Private Incentives,"",2021-06-14 17:32:49 UTC,,,,"",ELEC|PHEV,RBATE,"",IND,"",,
12614,WA,Electric Vehicle (EV) Charging Station Fees ,"EV charging station ports are subject to the following annual
registration fees:

-   \$20 per Level 2 port
-   \$40 per direct current fast charging (DCFC) port

The Department of Agriculture may adopt additional registration fees and
consider differential fees for electric vehicle service providers
operating less than 25 public EV charging stations in Washington.

EV charging stations found to be an economic detriment to the customer
may be subject to a \$200 penalty for the first violation, and \$500
penalty for the second violation.

(Reference [Revised Code of Washington 19.94.175 and 19.94.517](https://apps.leg.wa.gov/rcw/))",2021-07-25 00:00:00 UTC,,false,81,Laws and Regulations,"",2021-06-14 17:57:38 UTC,,,,"",ELEC|PHEV,"",REGIS,STATION|FLEET,https://apps.leg.wa.gov/rcw/,enacted,2021-07-25
12692,WA,Electric Vehicle (EV) Charging Station Rebate – Tacoma Public Utility (TPU),"TPU offers residential customers a \$400 rebate, in the form of bill
credit, for the installation of a Level 2 EV charging station, a smart
splitter, or a 240-volt outlet. Applicants may receive one rebate per
installation, up to \$600 total. For more information, see the TPU [EV
Charging](https://www.mytpu.org/ways-to-save/residential-incentives/ev-charging/)
website.
",,,false,71,Utility / Private Incentives,"",2022-04-11 16:20:13 UTC,,,,"",ELEC|PHEV,RBATE,"",IND,"",,
12693,WA,Electric Vehicle (EV) Charging Station Rebates – Tacoma Public Utility (TPU),"TPU offers rebates for the installation of Level 2 EV charging stations
at multifamily dwellings and businesses located in the City of Tacoma.
Rebate amounts for the first two EV charging station ports are available
in the following amounts:

::: {data-align=""center""}
  Applicant Type         Standard Rebate Amount                 Rebate for Historically Underinvested Communities
  ---------------------- -------------------------------------- ---------------------------------------------------
  Business               60% of project costs, up to \$12,000   80% of project costs, up to \$16,000
  Multifamily Dwelling   80% of project costs, up to \$16,000   100% of project costs, up to \$20,000
:::

A rebate of up to \$2,000 is available for every additional EV charging
station port installed. Applicants may also receive a rebate for 100% of
utility infrastructure upgrade costs, up to \$25,000, to increase grid
reliability. For more information, including funding terms and waitlist
availability, see the TPU [Public Electric Vehicle
Charging](https://www.mytpu.org/community-environment/clean-renewable-energy/electric-vehicles/public-electric-vehicle-charging/)
and [Multifamily Dwelling EV
Charging](https://www.mytpu.org/community-environment/clean-renewable-energy/electric-vehicles/multifamily-dwelling-ev-charging/)
websites.
",,,false,72,Utility / Private Incentives,"",2021-10-12 15:55:23 UTC,,,,"",ELEC|PHEV,RBATE,"",STATION|FLEET|MUD,"",,
12758,WA,Fleet Electric Vehicle (EV) Procurement Requirements,"State executive and small-cabinet agency fleets must procure EVs to
replace light-, medium-, and heavy- duty internal combustion engine
(ICE) vehicles once they reach the end of their useful life. Fleets must
achieve the following procurement requirements:

<div>

</div>

Percentage of Procured Vehicles that Must be EVs

Year

Light Duty

Medium Duty

Heavy Duty

2025

40%

No Requirement

No Requirement

2030

75%

30%

50%

2035

100%

55%

75%

2040

100%

100%

100%

When EVs are not available for medium- and heavy-duty vehicles, fleets
must prioritize the lowest-emission, cost-effective option available,
and may procure plug-in hybrid vehicles and hydrogen fuel cell electric
vehicles.

(Reference [Executive Order 21-04, 2021](https://www.governor.wa.gov/office-governor/official-actions/executive-orders))",2021-11-03 00:00:00 UTC,,false,14,Laws and Regulations,"",2021-12-13 13:46:56 UTC,,,,"",ELEC|HY|PHEV,"",REQ,GOV,https://www.governor.wa.gov/office-governor/official-actions/executive-orders,enacted,2021-11-03
12809,WA,Electric Vehicle (EV) Infrastructure Support,"Washington utilities joined the National Electric Highway Coalition
(NEHC), committing to create a network of direct current fast charging
(DCFC) charging stations connecting major highway systems from the
Atlantic Coast to the Pacific of the United States. NEHC utility members
agree to ensure efficient and effective fast charging deployment plans
that enable long distance EV travel, avoiding duplication among
coalition utilities, and complement existing corridor DCFC sites. For
more information, including a list of participating utilities and
states, see the
[NEHC](https://www.eei.org/issuesandpolicy/Pages/NEHC.aspx) website.
",,,false,90,Utility / Private Incentives,"",2022-01-04 16:30:44 UTC,,,,"",ELEC|PHEV,OTHER,"",STATION|AFP|IND,"",,
12860,WA,Zero Emission Vehicle (ZEV) Carshare Grant,"The Zero-emissions Access Program (ZAP), administered by the Washington
State Department of Transportation (WSDOT), offers grants to nonprofit
organizations and local governments to design and create a ZEV carshare
program in underserved and low-to moderate-income communities. Grant
awards may range from \$50,000 to \$200,000. Eligible projects include:

-   Contract, lease, or purchase of ZEVs;
-   Construction or installation of correlated charging station or
    refueling infrastructure; and,
-   Operational costs to develop, implement, and manage a car share
    program.

Applicants must provide matching funds as direct contributions or
gifts-in-kind for at least 10% of the total cost of the project.
Additional eligibility requirements may apply. For more information,
including eligible communities and program dates, see the WSDOT [ZEV
Grants](https://wsdot.wa.gov/business-wsdot/grants/zero-emission-vehicle-grants)
website.

(Reference [Revised Code of Washington 47.04.355](http://apps.leg.wa.gov/rcw/default.aspx))",2022-01-01 00:00:00 UTC,,false,16,State Incentives,"",2022-04-11 16:12:17 UTC,,,,"",ELEC|HY|PHEV,GNT,"",FLEET|GOV,http://apps.leg.wa.gov/rcw/default.aspx,enacted,2022-01-01
12861,WA,Electric Vehicle (EV) Time-Of-Use (TOU) Rate – Pacific Power ,"Pacific Power offers residential, commercial, and irrigation customers a
TOU rate for charging EVs. For more information, including pricing and
eligibility, visit the Pacific Power
[TOU](https://www.pacificpower.net/savings-energy-choices/time-of-use.html)
website.
",,,false,69,Utility / Private Incentives,"",2022-04-11 16:18:16 UTC,,,,"",ELEC|PHEV,TOU,"",AFP|FLEET|MUD|IND,"",,
